player	sum	season
Cristiano Ronaldo	117.5	2009/10
Zinédine Zidane	91.875	2001/02
Zlatan Ibrahimovic	86.875	2009/10
Kaká	81.25	2009/10
Luís Figo	75	2000/01
Fernando Torres	73.125	2010/11
Hulk	68.75001	2012/13
Hernán Crespo	68.75	2000/01
Gianluigi Buffon	67.75	2001/02
Gaizka Mendieta	60	2001/02
Falcao	58.75	2011/12
Andriy Shevchenko	57.5001	2006/07
Rio Ferdinand	57.5	2002/03
Kun Agüero	56.25002	2011/12
Christian Vieri	56.25001	1999/00
Ronaldo	56.25	2002/03
Robinho	53.75	2008/09
Juan Sebastián Verón	53.25	2001/02
Thiago Silva	52.5002	2012/13
Javier Pastore	52.5001	2011/12
Rui Costa	52.5	2001/02
Lilian Thuram	51.875	2001/02
Pavel Nedved	51.5	2001/02
Andy Carroll	51.25	2010/11
Eden Hazard	50.00005	2012/13
Lucas	50.00004	2012/13
Javi Martínez	50.00003	2012/13
Axel Witsel	50.00002	2012/13
David Villa	50.00001	2010/11
Marc Overmars	50	2000/01
Dimitar Berbatov	47.50002	2008/09
Fernando Torres	47.500001	2007/08
Michael Essien	47.5	2005/06
David Beckham	46.875	2003/04
Edin Dzeko	46.25004	2010/11
Wayne Rooney	46.25003	2004/05
Didier Drogba	46.25002	2004/05
Filippo Inzaghi	46.25001	2001/02
Arjen Robben	45.00001	2007/08
Hernán Crespo	45	2002/03
Javier Saviola	44.875	2001/02
Dani Alves	44.375	2008/09
Xabi Alonso	44.25	2009/10
Willian	43.7500003	2012/13
Karim Benzema	43.7500002	2009/10
Nicolas Anelka	43.7500001	1999/00
José Antonio Reyes	43.75	2003/04
Nicolas Anelka	43.125	2000/01
Cesc Fàbregas	42.5	2011/12
Ángel Di María	41.25	2010/11